ICAO,CTRY
08NH,US
08NJ,US
08NY,US
08OH,US
08OK,US
08OL,US
08OR,US
08PA,US
08PN,US
08R,US
08SD,US
08TA,US
08TE,US
08TN,US
08TS,US
08TT,US
08TX,US
08U,US
08VA,US
08WA,US
08WI,US
08XA,US
08XS,US
09AA,US
09AK,US
09AR,US
09AZ,US
09CA,US
09CL,US
09CN,US
09CO,US
09FA,US
09FD,US
09FL,US
09GA,US
09I,US
09IA,US
09ID,US
09II,US
09IL,US
09IN,US
09IS,US
09KS,US
09KY,US
09LA,US
09LL,US
09LS,US
09MA,US
09ME,US
09MI,US
09MN,US
09MO,US
09N,US
09NC,US
09NE,US
09NJ,US
09NR,US
09NY,US
09OK,US
09OR,US
09PA,US
09PN,US
09S,US
09TA,US
09TE,US
09TN,US
09TS,US
09TX,US
09VA,US
09VG,US
09W,US
09WA,US
09WI,US
09XS,US
09Y,US
0AA6,US
0AA7,US
0AK,US
0AK0,US
0AK1,US
0AK2,US
0AK3,US
0AK5,US
0AK6,US
0AK7,US
0AK8,US
0AK9,US
0AL0,US
0AL1,US
0AL2,US
0AL3,US
0AL4,US
0AL5,US
0AL6,US
0AL7,US
0AL8,US
0AL9,US
0AR0,US
0AR1,US
0AR2,US
0AR3,US
0AR4,US
0AR5,US
0AR6,US
0AR7,US
0AR8,US
0AR9,US
0AZ0,US
0AZ1,US
0AZ2,US
0AZ4,US
0AZ5,US
0AZ6,US
0AZ7,US
0B2,US
0B7,US
0C1,US
0C2,US
0C5,US
0C7,US
0C8,US
0C9,US
0CA0,US
0CA1,US
0CA2,US
0CA3,US
0CA4,US
0CA5,US
0CA6,US
0CA7,US
0CA8,US
0CA9,US
0CD0,US
0CD1,US
0CD2,US
0CD3,US
0CD4,US
0CD5,US
0CD6,US
0CD7,US
0CD8,US
0CD9,US
0CL0,US
0CL1,US
0CL2,US
0CL3,US
0CL4,US
0CL5,US
0CL6,US
0CL7,US
0CL8,US
0CL9,US
0CN1,US
0CN2,US
0CO0,US
0CO1,US
0CO2,US
0CO3,US
0CO4,US
0CO5,US
0CO6,US
0CO7,US
0CO8,US
0CO9,US
0CT0,US
0CT1,US
0CT2,US
0CT3,US
0CT4,US
0CT5,US
0CT6,US
0CT7,US
0CT8,US
0CT9,US
0D6,US
0D7,US
0D9,US
0E9,US
0FA0,US
0FA1,US
0FA2,US
0FA5,US
0FD0,US
0FD1,US
0FD2,US
0FD3,US
0FD4,US
0FD5,US
0FD6,US
0FD9,US
0FL0,US
0FL1,US
0FL2,US
0FL3,US
0FL4,US
0FL5,US
0FL6,US
0FL7,US
0FL8,US
0FL9,US
0G0,US
0G5,US
0GA0,US
0GA1,US
0GA2,US
0GA3,US
0GA4,US
0GA5,US
0GA6,US
0GA7,US
0GA8,US
0GA9,US
0GE0,US
0GE1,US
0GE3,US
0GE4,US
0GE5,US
0GE7,US
0GE9,US
0H7,US
0I2,US
0IA0,US
0IA1,US
0IA2,US
0IA3,US
0IA4,US
0IA5,US
0IA6,US
0IA7,US
0IA8,US
0IA9,US
0ID0,US
0ID1,US
0ID2,US
0ID3,US
0ID4,US
0ID5,US
0ID6,US
0ID7,US
0ID8,US
0ID9,US
0II0,US
0II1,US
0II2,US
0II3,US
0II5,US
0II6,US
0II7,US
0II8,US
0II9,US
0IL0,US
0IL1,US
0IL2,US
0IL3,US
0IL4,US
0IL5,US
0IL6,US
0IL8,US
0IL9,US
0IN1,US
0IN2,US
0IN3,US
0IN4,US
0IN5,US
0IN7,US
0IN8,US
0IN9,US
0IS0,US
0IS2,US
0IS3,US
0IS4,US
0IS6,US
0IS8,US
0IS9,US
0J0,US
0J8,US
0K6,US
0KS0,US
0KS2,US
0KS3,US
0KS4,US
0KS6,US
0KS7,US
0KS8,US
0KS9,US
0KY0,US
0KY1,US
0KY2,US
0KY3,US
0KY4,US
0KY5,US
0KY6,US
0KY7,US
0KY8,US
0KY9,US
0L4,US
0L5,US
0L6,US
0LA0,US
0LA1,US
0LA2,US
0LA3,US
0LA4,US
0LA5,US
0LA6,US
0LA7,US
0LA8,US
0LA9,US
0LL0,US
0LL1,US
0LL2,US
0LL3,US
0LL4,US
0LL5,US
0LL6,US
0LL7,US
0LL9,US
0LS0,US
0LS2,US
0LS3,US
0LS4,US
0LS5,US
0LS6,US
0LS7,US
0LS8,US
0LS9,US
0MA1,US
0MA2,US
0MA3,US
0MA4,US
0MA5,US
0MA6,US
0MA8,US
0MA9,US
0MD0,US
0MD1,US
0MD2,US
0MD3,US
0MD4,US
0MD5,US
0MD6,US
0MD7,US
0MD8,US
0MD9,US
0ME4,US
0MI0,US
0MI1,US
0MI2,US
0MI3,US
0MI4,US
0MI6,US
0MI7,US
0MI8,US
0MI9,US
0MN0,US
0MN1,US
0MN2,US
0MN3,US
0MN4,US
0MN5,US
0MN6,US
0MN7,US
0MN8,US
0MN9,US
0MO0,US
0MO1,US
0MO2,US
0MO3,US
0MO4,US
0MO5,US
0MO6,US
0MO7,US
0MO8,US
0MO9,US
0MS0,US
0MS1,US
0MS2,US
0MS3,US
0MS4,US
0MS5,US
0MS6,US
0MS7,US
0MS8,US
0MS9,US
0MT1,US
0MT2,US
0MT3,US
0MT4,US
0MT5,US
0MT6,US
0MT7,US
0MT8,US
0MT9,US
0MU0,US
0MU1,US
0MU2,US
0MU3,US
0MU4,US
0MU5,US
0MU6,US
0MU7,US
0MU8,US
0MU9,US
0MY0,US
0MY1,US
0N0,US
0N4,US
0N5,US
0N6,US
0NA1,US
0NA5,US
0NA9,US
0NC0,US
0NC1,US
0NC2,US
0NC3,US
0NC4,US
0NC5,US
0NC6,US
0NC7,US
0NC8,US
0NC9,US
0ND0,US
0ND6,US
0ND7,US
0NE0,US
0NE1,US
0NE2,US
0NE3,US
0NE4,US
0NE5,US
0NE6,US
0NH7,US
0NJ0,US
0NJ1,US
0NJ2,US
0NJ3,US
0NJ4,US
0NJ5,US
0NJ6,US
0NJ7,US
0NJ8,US
0NJ9,US
0NK0,US
0NK1,US
0NK2,US
0NK3,US
0NK4,US
0NK5,US
0NK6,US
0NK7,US
0NK8,US
0NK9,US
0NM0,US
0NM7,US
0NV1,US
0NY0,US
0NY1,US
0NY3,US
0NY5,US
0NY6,US
0NY7,US
0NY8,US
0O0,US
0O4,US
0O9,US
0OA2,US
0OH1,US
0OH2,US
0OH3,US
0OH4,US
0OH6,US
0OH7,US
0OH8,US
0OH9,US
0OI0,US
0OI1,US
0OI2,US
0OI3,US
0OI4,US
0OI6,US
0OI9,US
0OK0,US
0OK1,US
0OK2,US
0OK3,US
0OK4,US
0OK5,US
0OK6,US
0OK7,US
0OK8,US
0OK9,US
0OR0,US
0OR2,US
0OR3,US
0OR4,US
0OR5,US
0OR6,US
0OR7,US
0OR8,US
0OR9,US
0P0,US
0P1,US
0P2,US
0PA0,US
0PA1,US
0PA2,US
0PA3,US
0PA4,US
0PA5,US
0PA6,US
0PA7,US
0PA8,US
0PA9,US
0PN0,US
0PN1,US
0PN2,US
0PN3,US
0PN4,US
0PN5,US
0PN6,US
0PN7,US
0PN8,US
0PN9,US
0PS0,US
0PS1,US
0PS2,US
0PS3,US
0PS4,US
0PS5,US
0PS6,US
0PS7,US
0PS8,US
0PS9,US
0Q3,US
0Q4,US
0Q6,US
0Q9,US
0R2,US
0R7,US
0R9,US
0S1,US
0S2,US
0S5,US
0SD0,US
0SD1,US
0SD2,US
0SD3,US
0SD4,US
0SD5,US
0SD6,US
0SD7,US
0SD8,US
0SD9,US
0T3,US
0T7,US
0TA0,US
0TA1,US
0TA2,US
0TA3,US
0TA4,US
0TA5,US
0TA6,US
0TA7,US
0TA8,US
0TA9,US
0TE0,US
0TE1,US
0TE2,US
0TE3,US
0TE4,US
0TE5,US
0TE6,US
0TE7,US
0TE8,US
0TE9,US
0TN0,US
0TN1,US
0TN2,US
0TN3,US
0TN4,US
0TN5,US
0TN6,US
0TN7,US
0TN8,US
0TN9,US
0TS0,US
0TS1,US
0TS2,US
0TS3,US
0TS4,US
0TS5,US
0TS6,US
0TS7,US
0TS8,US
0TS9,US
0TT8,MP
0TX0,US
0TX1,US
0TX2,US
0TX3,US
0TX4,US
0TX5,US
0TX6,US
0TX7,US
0TX8,US
0TX9,US
0U0,US
0U1,US
0U2,US
0U3,US
0U7,US
0U8,US
0U9,US
0VA0,US
0VA1,US
0VA2,US
0VA3,US
0VA4,US
0VA5,US
0VA6,US
0VA7,US
0VA8,US
0VA9,US
0VI1,US
0W0,US
0W7,US
0WA0,US
0WA1,US
0WA2,US
0WA3,US
0WA4,US
0WA5,US
0WA6,US
0WA7,US
0WA8,US
0WA9,US
0WI0,US
0WI1,US
0WI2,US
0WI3,US
0WI4,US
0WI5,US
0WI6,US
0WI7,US
0WI8,US
0WI9,US
0WN0,US
0WN1,US
0WN2,US
0WN4,US
0WN5,US
0WN6,US
0WN7,US
0WN8,US
0WN9,US
0WY0,US
0WY1,US
0XA0,US
0XA1,US
0XA2,US
0XA3,US
0XA4,US
0XA5,US
0XA6,US
0XA7,US
0XA8,US
0XA9,US
0XS0,US
0XS1,US
0XS2,US
0XS3,US
0XS4,US
0XS5,US
0XS6,US
0XS7,US
0XS8,US
0XS9,US
0Y4,US
0Y6,US
0Z2,US
0Z3,US
10AK,US
10AL,US
10AR,US
10AZ,US
10CA,US
10CL,US
10CN,US
10CO,US
10D,US
10F,US
10FA,US
10FD,US
10FL,US
10GA,US
10IA,US
10ID,US
10II,US
10IL,US
10IN,US
10KS,US
10KY,US
10LA,US
10LS,US
10MA,US
10ME,US
10MI,US
10MN,US
10MO,US
10MS,US
10MT,US
10MU,US
10NC,US
10ND,US
10NE,US
10NH,US
10NJ,US
10NR,US
10NY,US
10OH,US
10OK,US
10OR,US
10PA,US
10PN,US
10SD,US
10TA,US
10TE,US
10TN,US
10TS,US
10TX,US
10UT,US
10VA,US
10VG,US
10WA,US
10WI,US
10WY,US
10XS,US
11AK,US
11AL,US
11AR,US
11AZ,US
11CA,US
11CL,US
11CN,US
11CO,US
11FA,US
11FD,US
11FL,US
11G,US
11GA,US
11GE,US
11ID,US
11II,US
11IL,US
11IN,US
11IS,US
11KS,US
11KY,US
11LA,US
11LL,US
11LS,US
11M,US
11MA,US
11MD,US
11MI,US
11MN,US
11MO,US
11MT,US
11MU,US
11N,US
11NC,US
11NE,US
11NJ,US
11NK,US
11NR,US
11NY,US
11OA,US
11OG,US
11OH,US
11OK,US
11OR,US
11PA,US
11PN,US
11S,US
11TA,US
11TE,US
11TN,US
11TS,US
11TX,US
11UT,US
11VA,US
11VG,US
11WA,US
11WI,US
11WN,US
11XS,US
11Y,US
12A,US
12AL,US
12AR,US
12AZ,US
12CA,US
12CL,US
12CN,US
12CO,US
12FA,US
12FD,US
12FL,US
12GA,US
12GE,US
12I,US
12IA,US
12ID,US
12II,US
12IL,US
12IN,US
12IS,US
12JY,US
12KS,US
12KY,US
12LA,US
12LL,US
12LS,US
12MA,US
12MD,US
12ME,US
12MI,US
12MN,US
12MO,US
12MS,US
12MT,US
12NC,US
12ND,US
12NE,US
12NH,US
12NJ,US
12NK,US
12NM,US
12NY,US
12OA,US
12OH,US
12OK,US
12OR,US
12PA,US
12PN,US
12PR,PR
12PS,US
12S,US
12SC,US
12T,US
12TA,US
12TE,US
12TN,US
12TS,US
12TX,US
12VA,US
12WA,US
12WI,US
12WT,US
12WV,US
12WY,US
12XA,US
12XS,US
13AK,US
13AL,US
13AR,US
13AZ,US
13CA,US
13CL,US
13CO,US
13D,US
13FA,US
13FD,US
13FL,US
13GA,US
13GE,US
13IA,US
13ID,US
13II,US
13IN,US
13JY,US
13KS,US
13KY,US
13LA,US
13LL,US
13LS,US
13M,US
13MA,US
13ME,US
13MI,US
13MN,US
13MO,US
13MS,US
13MT,US
13N,US
13NC,US
13NE,US
13NJ,US
13NK,US
13NM,US
13NY,US
13OH,US
13OI,US
13OK,US
13OR,US
13PA,US
13PN,US
13PS,US
13Q,US
13S,US
13SC,US
13TA,US
13TE,US
13TN,US
13TS,US
13TX,US
13VA,US
13VG,US
13W,US
13WA,US
13WI,US
13XS,US
13Y,US
13Z,US
14AK,US
14AL,US
14AR,US
14AZ,US
14CA,US
14CL,US
14CO,US
14CT,US
14FA,US
14FD,US
14FL,US
14GA,US
14GE,US
14I,US
14ID,US
14IL,US
14IN,US
14IS,US
14KS,US
14KY,US
14L,US
14LA,US
14LL,US
14LS,US
14MA,US
14ME,US
14MI,US
14MN,US
14MO,US
14MS,US
14MT,US
14N,US
14NC,US
14ND,US
14NE,US
14NH,US
14NJ,US
14NK,US
14NY,US
14OH,US
14OI,US
14OK,US
14OR,US
14P,US
14PA,US
14PR,PR
14PS,US
14S,US
14SN,US
14TA,US
14TE,US
14TN,US
14TS,US
14TT,US
14TX,US
14VA,US
14VG,US
14WA,US
14WI,US
14WS,US
14WV,US
14XA,US
14XS,US
15A,US
15AK,US
15AL,US
15AR,US
15AZ,US
15CA,US
15CL,US
15CO,US
15FD,US
15FL,US
15G,US
15GA,US
15IA,US
15ID,US
15II,US
15IL,US
15IN,US
15KS,US
15KT,US
15KY,US
15LA,US
15LL,US
15LS,US
15MA,US
15ME,US
15MI,US
15MN,US
15MO,US
15MT,US
15N,US
15NC,US
15NE,US
15NH,US
15NJ,US
15NK,US
15NR,US
15NY,US
15OH,US
15OI,US
15OK,US
15OR,US
15PA,US
15PN,US
15PS,US
15S,US
15SD,US
15TA,US
15TE,US
15TN,US
15TS,US
15TX,US
15VA,US
15W,US
15WA,US
15WI,US
15XS,US
16A,US
16AK,US
16AL,US
16AR,US
16AZ,US
16CA,US
16CL,US
16CO,US
16DE,US
16FA,US
16FD,US
16FL,US
16GA,US
16IA,US
16ID,US
16II,US
16IL,US
16IN,US
16IS,US
16K,US
16KY,US
16LA,US
16LL,US
16LS,US
16MA,US
16MD,US
16ME,US
16MI,US
16MN,US
