ICAO,CTRY
DE-0422,DE
DE-0423,DE
DE-0424,DE
DE-0425,DE
DE-0426,DE
DE-0427,DE
DE-0428,DE
DE-0429,DE
DE-0430,DE
DE-0431,DE
DE-0432,DE
DE-0433,DE
DE-0434,DE
DE-0435,DE
DE-0436,DE
DE-0437,DE
DE-0438,DE
DE-0439,DE
DE-0440,DE
DE-0441,DE
DE-0442,DE
DE-0443,DE
DE-0444,DE
DE-0445,DE
DE-0446,DE
DE-0447,DE
DE-0448,DE
DE-0449,DE
DE-0450,DE
DE-0451,DE
DE-0452,DE
DE-0453,DE
DE00,US
DE01,US
DE02,US
DE03,US
DE04,US
DE05,US
DE06,US
DE07,US
DE08,US
DE09,US
DE10,US
DE11,US
DE12,US
DE13,US
DE14,US
DE15,US
DE16,US
DE17,US
DE18,US
DE19,US
DE20,US
DE21,US
DE22,US
DE23,US
DE24,US
DE25,US
DE26,US
DE27,US
DE28,US
DE29,US
DE30,US
DE31,US
DE32,US
DE33,US
DE34,US
DE39,US
DE49,US
DEQ,CN
DER,PG
DEX,ID
DFCA,BF
DFCB,BF
DFCC,BF
DFCD,BF
DFCE,BF
DFCG,BF
DFCI,BF
DFCJ,BF
DFCK,BF
DFCL,BF
DFCM,BF
DFCP,BF
DFCR,BF
DFCS,BF
DFCT,BF
DFCU,BF
DFCY,BF
DFEA,BF
DFEB,BF
DFEC,BF
DFED,BF
DFEE,BF
DFEF,BF
DFEG,BF
DFEK,BF
DFEL,BF
DFEM,BF
DFEO,BF
DFEP,BF
DFER,BF
DFES,BF
DFET,BF
DFEY,BF
DFEZ,BF
DFFD,BF
DFOA,BF
DFOB,BF
DFOD,BF
DFOF,BF
DFOG,BF
DFOH,BF
DFOL,BF
DFON,BF
DFOO,BF
DFOR,BF
DFOS,BF
DFOT,BF
DFOU,BF
DFOY,BF
DGAA,GH
DGG,PG
DGLE,GH
DGLN,GH
DGLW,GH
DGLY,GH
DGM,LK
DGSI,GH
DGSN,GH
DGTK,GH
DHB,US
DHG,RU
DHL,YE
DIAO,CI
DIAP,CI
DIAU,CI
DIBC,CI
DIBI,CI
DIBK,CI
DIBN,CI
DIBU,CI
DIDB,CI
DIDK,CI
DIDL,CI
DIFK,CI
DIGA,CI
DIGL,CI
DIGN,CI
DIKO,CI
DIMN,CI
DIOD,CI
DIOF,CI
DISG,CI
DISP,CI
DISS,CI
DITB,CI
DITN,CI
DIW,LK
DIYO,CI
DJ-0001,DJ
DJ-0002,DJ
DK-0001,DK
DK-0002,DK
DK-0003,DK
DK-0004,DK
DK-0005,DK
DK-0006,DK
DK-0007,DK
DK-0008,DK
DK-0009,DK
DK-0010,DK
DK-0011,DK
DK-0012,DK
DK-0013,DK
DK-0014,DK
DK-0015,DK
DK-0016,DK
DK-0017,DK
DK-0018,DK
DK-0019,DK
DK-0020,DK
DK-0021,DK
DK-0022,DK
DK-0023,DK
DK-0024,DK
DK-0025,DK
DK-0026,DK
DK-0027,DK
DK-0028,DK
DK-0029,DK
DK-0030,DK
DK-0031,DK
DK-0032,DK
DK-0033,DK
DK-0034,DK
DK-0035,DK
DK-0036,DK
DK-0037,DK
DK-0038,DK
DK-0039,DK
DK-0040,DK
DK-0041,DK
DK-0042,DK
DK-0043,DK
DLC,CN
DLR,RU
DM2,US
DN50,NG
DN51,NG
DN53,NG
DN54,NG
DN55,NG
DN56,NG
DN57,NG
DNAA,NG
DNAI,NG
DNAK,NG
DNAS,NG
DNBB,NG
DNBC,NG
DNBE,NG
DNBI,NG
DNCA,NG
DNDS,NG
DNEN,NG
DNFB,NG
DNFD,NG
DNGU,NG
DNIB,NG
DNIL,NG
DNIM,NG
DNJA,NG
DNJO,NG
DNKA,NG
DNKN,NG
DNMA,NG
DNMK,NG
DNMM,NG
DNMN,NG
DNOS,NG
DNPO,NG
DNSO,NG
DNYO,NG
DNZA,NG
DO-0001,DO
DO-0002,DO
DO-0003,DO
DOO,PG
DOS,PG
DPK,US
DPT,RU
DPU,PG
DQA,CN
DRRA,NE
DRRB,NE
DRRC,NE
DRRD,NE
DRRE,NE
DRRG,NE
DRRI,NE
DRRL,NE
DRRM,NE
DRRN,NE
DRRP,NE
DRRT,NE
DRRU,NE
DRZA,NE
DRZD,NE
DRZF,NE
DRZG,NE
DRZI,NE
DRZL,NE
DRZM,NE
DRZN,NE
DRZR,NE
DRZT,NE
DSG,PH
DST,HR
DT1,US
DT70,TN
DTG,US
DTKA,TN
DTMB,TN
DTTA,TN
DTTB,TN
DTTD,TN
DTTF,TN
DTTG,TN
DTTI,TN
DTTJ,TN
DTTR,TN
DTTX,TN
DTTZ,TN
DVD,MG
DWO,LK
DWR,AF
DWS,US
DXAK,TG
DXDP,TG
DXKP,TG
DXMG,TG
DXNG,TG
DXSK,TG
DXXX,TG
DZ-0001,DZ
DZ-0002,DZ
DZ-0003,DZ
DZ-0004,DZ
DZ-0005,DZ
DZ-0006,DZ
DZ-0007,DZ
DZ-0008,DZ
DZ-0009,DZ
DZ-0010,DZ
DZ-0011,DZ
E07,US
E20,US
E27,US
E32,US
E36,US
E37,US
E40,US
E53,US
E55,US
E58,US
E61,US
E66,US
E68,US
E70,US
E79,US
E81,US
E85,US
E92,US
E94,US
EAL,MH
EBAG,BE
EBAK,BE
EBAL,BE
EBAM,BE
EBAR,BE
EBAS,BE
EBAT,BE
EBAV,BE
EBAW,BE
EBBA,BE
EBBC,BE
EBBE,BE
EBBG,BE
EBBH,BE
EBBL,BE
EBBM,BE
EBBN,BE
EBBO,BE
EBBR,BE
EBBT,BE
EBBW,BE
EBBX,BE
EBBY,BE
EBBZ,BE
EBCF,BE
EBCH,BE
EBCI,BE
EBCR,BE
EBCS,BE
EBCV,BE
EBDI,BE
EBDL,BE
EBDR,BE
EBDT,BE
EBDW,BE
EBDZ,BE
EBEA,BE
EBEB,BE
EBEH,BE
EBEN,BE
EBEU,BE
EBFD,BE
EBFN,BE
EBFR,BE
EBFS,BE
EBGA,BE
EBGB,BE
EBGE,BE
EBGG,BE
EBGL,BE
EBGT,BE
EBGU,BE
EBHA,BE
EBHE,BE
EBHF,BE
EBHL,BE
EBHM,BE
EBHN,BE
EBHO,BE
EBHS,BE
EBHT,BE
EBIS,BE
EBJS,BE
EBKG,BE
EBKH,BE
EBKR,BE
EBKT,BE
EBKU,BE
EBKW,BE
EBKZ,BE
EBLB,BE
EBLC,BE
EBLD,BE
EBLE,BE
EBLG,BE
EBLH,BE
EBLI,BE
EBLJ,BE
EBLM,BE
EBLN,BE
EBLO,BE
EBLR,BE
EBLS,BE
EBLU,BE
EBLV,BE
EBLY,BE
EBLZ,BE
EBMA,BE
EBMB,BE
EBMD,BE
EBME,BE
EBMG,BE
EBMK,BE
EBML,BE
EBMM,BE
EBMO,BE
EBMS,BE
EBMT,BE
EBMW,BE
EBNB,BE
EBNE,BE
EBNH,BE
EBNK,BE
EBNL,BE
EBNM,BE
EBNO,BE
EBNR,BE
EBO,MH
EBOB,BE
EBOK,BE
EBOO,BE
EBOR,BE
EBOS,BE
EBOT,BE
EBPP,BE
EBPV,BE
EBPW,BE
EBRB,BE
EBRD,BE
EBRO,BE
EBRR,BE
EBRU,BE
EBSB,BE
EBSG,BE
EBSH,BE
EBSJ,BE
EBSL,BE
EBSN,BE
EBSP,BE
EBSS,BE
EBST,BE
EBSU,BE
EBSW,BE
EBTE,BE
EBTK,BE
EBTN,BE
EBTR,BE
EBTX,BE
EBTY,BE
EBUB,BE
EBUC,BE
EBUL,BE
EBVE,BE
EBVN,BE
EBVS,BE
EBVU,BE
EBWA,BE
EBWE,BE
EBWI,BE
EBWZ,BE
EBYC,BE
EBYP,BE
EBZH,BE
EBZI,BE
EBZM,BE
EBZO,BE
EBZR,BE
EBZU,BE
EBZW,BE
EC-0001,EC
EC-0002,EC
EC-0003,EC
EC-0004,EC
EC-0005,EC
EC-0006,EC
EC-0007,EC
EC-0008,EC
EC-0009,EC
EC-0010,EC
EC-0011,EC
EC-0012,EC
EC-0013,EC
EC-0014,EC
EC-0015,EC
EC-0016,EC
EC-0017,EC
EC-0018,EC
EC-0019,EC
EC-0020,EC
EC-0021,EC
EC-0022,EC
EC-0023,EC
EC-0024,EC
EC-0025,EC
EC-0026,EC
EC-0027,EC
EC-0028,EC
EC-0029,EC
EC-0030,EC
EC-0031,EC
EC-0032,EC
EC-0033,EC
EC-0034,EC
EC-MZD,EC
EDA,US
EDAB,DE
EDAC,DE
EDAD,DE
EDAE,DE
EDAG,DE
EDAH,DE
EDAI,DE
EDAJ,DE
EDAK,DE
EDAL,DE
EDAM,DE
EDAN,DE
EDAO,DE
EDAP,DE
EDAQ,DE
EDAR,DE
EDAS,DE
EDAT,DE
EDAU,DE
EDAV,DE
EDAW,DE
EDAX,DE
EDAY,DE
EDAZ,DE
EDBA,DE
EDBC,DE
EDBD,DE
EDBE,DE
EDBF,DE
EDBG,DE
EDBH,DE
EDBI,DE
EDBJ,DE
EDBK,DE
EDBL,DE
EDBM,DE
EDBN,DE
EDBO,DE
EDBP,DE
EDBQ,DE
EDBR,DE
EDBS,DE
EDBT,DE
EDBU,DE
EDBV,DE
EDBW,DE
EDBX,DE
EDBY,DE
EDBZ,DE
EDCA,DE
EDCB,DE
EDCD,DE
EDCE,DE
EDCF,DE
EDCG,DE
EDCH,DE
EDCI,DE
EDCJ,DE
EDCK,DE
EDCL,DE
EDCM,DE
EDCN,DE
EDCO,DE
EDCP,DE
EDCQ,DE
EDCR,DE
EDCS,DE
EDCT,DE
EDCU,DE
EDCV,DE
EDCW,DE
EDCX,DE
EDCY,DE
EDDB,DE
EDDC,DE
EDDE,DE
EDDF,DE
EDDG,DE
EDDH,DE
EDDI,DE
EDDK,DE
EDDL,DE
EDDM,DE
EDDN,DE
EDDP,DE
EDDR,DE
EDDS,DE
EDDT,DE
EDDV,DE
EDDW,DE
EDEB,DE
EDEF,DE
EDEG,DE
EDEH,DE
EDEL,DE
EDEM,DE
EDEN,DE
EDEP,DE
EDEQ,DE
EDER,DE
EDEW,DE
EDFA,DE
EDFB,DE
EDFC,DE
EDFD,DE
EDFE,DE
EDFG,DE
EDFH,DE
EDFI,DE
EDFJ,DE
EDFK,DE
EDFL,DE
EDFM,DE
EDFN,DE
EDFO,DE
EDFP,DE
EDFQ,DE
EDFR,DE
EDFS,DE
EDFT,DE
EDFU,DE
EDFV,DE
EDFW,DE
EDFX,DE
EDFY,DE
EDFZ,DE
EDGA,DE
EDGB,DE
EDGE,DE
EDGF,DE
EDGH,DE
EDGI,DE
EDGJ,DE
EDGK,DE
EDGL,DE
EDGM,DE
EDGN,DE
EDGO,DE
EDGP,DE
EDGQ,DE
EDGR,DE
EDGS,DE
EDGT,DE
EDGU,DE
EDGW,DE
EDGX,DE
EDGZ,DE
EDHA,DE
EDHB,DE
EDHC,DE
EDHD,DE
EDHE,DE
EDHF,DE
EDHG,DE
EDHI,DE
EDHK,DE
EDHL,DE
EDHM,DE
EDHN,DE
EDHO,DE
EDHP,DE
EDHS,DE
EDHU,DE
EDHW,DE
EDHX,DE
EDJA,DE
EDJG,DE
EDKA,DE
EDKB,DE
EDKD,DE
EDKF,DE
EDKH,DE
EDKI,DE
EDKL,DE
EDKM,DE
EDKN,DE
EDKO,DE
EDKP,DE
EDKR,DE
EDKU,DE
EDKV,DE
EDKW,DE
EDKZ,DE
EDLA,DE
EDLB,DE
EDLC,DE
EDLD,DE
EDLE,DE
EDLF,DE
EDLG,DE
EDLH,DE
EDLI,DE
EDLJ,DE
EDLK,DE
EDLM,DE
EDLN,DE
EDLO,DE
EDLP,DE
EDLQ,DE
EDLR,DE
EDLS,DE
EDLT,DE
EDLU,DE
EDLV,DE
EDLW,DE
EDLX,DE
EDLY,DE
EDLZ,DE
EDMA,DE
EDMB,DE
EDMC,DE
EDMD,DE
EDME,DE
EDMF,DE
EDMG,DE
EDMH,DE
EDMI,DE
EDMJ,DE
EDMK,DE
EDML,DE
EDMN,DE
EDMO,DE
EDMP,DE
EDMQ,DE
EDMS,DE
EDMT,DE
EDMU,DE
EDMV,DE
EDMW,DE
EDMX,DE
EDMY,DE
EDNA,DE
EDNB,DE
EDNC,DE
EDND,DE
EDNE,DE
EDNF,DE
EDNG,DE
EDNH,DE
EDNI,DE
EDNJ,DE
EDNK,DE
EDNL,DE
EDNM,DE
EDNO,DE
EDNP,DE
EDNQ,DE
EDNR,DE
EDNS,DE
EDNT,DE
EDNU,DE
EDNV,DE
EDNW,DE
EDNX,DE
EDNY,DE
EDNZ,DE
EDOA,DE
EDOB,DE
EDOC,DE
EDOD,DE
EDOE,DE
EDOF,DE
EDOG,DE
EDOH,DE
EDOI,DE
EDOJ,DE
EDOK,DE
EDOL,DE
EDOM,DE
EDON,DE
EDOP,DE
EDOQ,DE
EDOR,DE
EDOS,DE
EDOT,DE
EDOU,DE
EDOV,DE
EDOW,DE
EDOX,DE
EDOY,DE
EDOZ,DE
EDPA,DE
EDPB,DE
EDPC,DE
EDPD,DE
EDPE,DE
EDPF,DE
EDPG,DE
EDPH,DE
EDPI,DE
EDPJ,DE
EDPK,DE
EDPM,DE
EDPO,DE
EDPQ,DE
EDPR,DE
EDPS,DE
EDPT,DE
EDPU,DE
EDPW,DE
EDPY,DE
EDQA,DE
EDQB,DE
EDQC,DE
EDQD,DE
EDQE,DE
EDQF,DE
EDQG,DE
EDQH,DE
EDQI,DE
EDQK,DE
EDQL,DE
EDQM,DE
EDQN,DE
EDQO,DE
EDQP,DE
EDQR,DE
EDQS,DE
EDQT,DE
EDQW,DE
EDQX,DE
EDQY,DE
EDQZ,DE
EDRA,DE
EDRB,DE
EDRD,DE
EDRF,DE
EDRG,DE
EDRH,DE
EDRI,DE
EDRJ,DE
EDRK,DE
EDRL,DE
EDRM,DE
EDRN,DE
EDRO,DE
EDRP,DE
EDRS,DE
EDRT,DE
EDRV,DE
EDRW,DE
EDRX,DE
EDRY,DE
EDRZ,DE
EDSA,DE
EDSB,DE
EDSD,DE
EDSE,DE
EDSG,DE
EDSH,DE
EDSI,DE
EDSK,DE
EDSL,DE
EDSN,DE
EDSO,DE
EDSP,DE
EDSR,DE
EDST,DE
EDSW,DE
EDSZ,DE
EDTB,DE
EDTC,DE
EDTD,DE
EDTF,DE
EDTG,DE
EDTH,DE
EDTK,DE
EDTL,DE
EDTM,DE
EDTN,DE
EDTO,DE
EDTP,DE
EDTQ,DE
EDTR,DE
EDTS,DE
EDTU,DE
EDTW,DE
EDTX,DE
EDTY,DE
EDTZ,DE
EDUA,DE
EDUB,DE
EDUC,DE
EDUF,DE
EDUO,DE
EDUS,DE
EDUT,DE
EDUW,DE
EDUY,DE
EDUZ,DE
EDVA,DE
EDVC,DE
EDVE,DE
EDVF,DE
EDVG,DE
EDVH,DE
EDVI,DE
EDVJ,DE
EDVK,DE
EDVL,DE
EDVM,DE
EDVN,DE
EDVP,DE
EDVR,DE
EDVS,DE
EDVT,DE
EDVU,DE
EDVW,DE
EDVX,DE
EDVY,DE
EDVZ,DE
EDWA,DE
EDWB,DE
EDWC,DE
EDWD,DE
EDWE,DE
EDWF,DE
EDWG,DE
EDWH,DE
EDWI,DE
EDWJ,DE
EDWK,DE
EDWL,DE
EDWM,DE
EDWN,DE
EDWO,DE
EDWP,DE
EDWQ,DE
EDWR,DE
EDWS,DE
EDWU,DE
EDWV,DE
EDWX,DE
EDWY,DE
EDWZ,DE
EDXA,DE
EDXB,DE
EDXC,DE
EDXD,DE
EDXE,DE
EDXF,DE
EDXG,DE
EDXH,DE
EDXI,DE
EDXJ,DE
EDXK,DE
EDXL,DE
EDXM,DE
EDXN,DE
EDXO,DE
EDXP,DE
EDXQ,DE
EDXR,DE
EDXS,DE
EDXT,DE
EDXU,DE
EDXW,DE
EDXY,DE
EDXZ,DE
EE-0001,EE
EE-0002,EE
EE-0003,EE
EE-0004,EE
EE-0005,EE
EE-0006,EE
EE-0007,EE
EE-0008,EE
EE-0009,EE
EE-1612,EE
EE-4931,EE
EE-7685,EE
EE-9278,EE
EEAA,EE
EEB,CO
EECL,EE
EEEI,EE
EEHA,EE
EEJI,EE
EEKA,EE
EEKE,EE
EEKI,EE
EEKU,EE
EELM,EE
EELU,EE
EENA,EE
EENI,EE
EEPU,EE
EERA,EE
EERD,EE
EERE,EE
EERI,EE
EERU,EE
EESE,EE
EETA,EE
EETN,EE
EETR,EE
EETU,EE
EEVI,EE
EEVO,EE
EEVU,EE
EFAA,FI
EFAH,FI
EFAL,FI
EFEJ,FI
EFEK,FI
EFET,FI
EFEU,FI
EFFO,FI
EFG,PG
EFGE,FI
EFHA,FI
EFHE,FI
EFHF,FI
EFHH,FI
EFHI,FI
EFHJ,FI
EFHK,FI
EFHL,FI
EFHM,FI
EFHN,FI
EFHO,FI
EFHP,FI
EFHS,FI
EFHV,FI
EFHY,FI
EFII,FI
EFIK,FI
EFIM,FI
EFIT,FI
EFIV,FI
EFJE,FI
EFJM,FI
EFJO,FI
EFJP,FI
EFJV,FI
EFJY,FI
EFKA,FI
EFKE,FI
EFKG,FI
EFKH,FI
EFKI,FI
EFKJ,FI
EFKK,FI
EFKM,FI
EFKN,FI
EFKO,FI
EFKR,FI
EFKS,FI
EFKT,FI
EFKU,FI
EFKV,FI
EFKY,FI
EFLA,FI
EFLL,FI
EFLN,FI
EFLP,FI
EFLR,FI
EFMA,FI
EFME,FI
EFMI,FI
EFML,FI
EFMN,FI
EFMP,FI
EFNS,FI
EFNU,FI
EFOP,FI
EFOU,FI
EFPA,FI
EFPE,FI
EFPH,FI
EFPI,FI
EFPJ,FI
EFPK,FI
EFPL,FI
EFPN,FI
EFPO,FI
EFPR,FI
EFPT,FI
EFPU,FI
EFPY,FI
EFRA,FI
EFRH,FI
EFRN,FI
EFRO,FI
EFRU,FI
EFRV,FI
EFRY,FI
EFSA,FI
EFSE,FI
EFSI,FI
EFSJ,FI
EFSO,FI
EFSU,FI
EFTO,FI
EFTP,FI
EFTS,FI
EFTU,FI
EFTV,FI
EFUT,FI
EFVA,FI
EFVI,FI
EFVL,FI
EFVP,FI
EFVR,FI
EFVT,FI
EFVU,FI
EFWB,FI
EFYL,FI
EG-0001,EG
EG-0002,EG
EG-0003,EG
EG-0004,EG
EG-0005,EG
EG-0006,EG
EG-0007,EG
EG-0008,EG
EG-0009,EG
EG-0010,EG
EG-0011,EG
EG-0012,EG
EG-0013,EG
EG-AUE,EG
EG03,GB
EG19,GB
EG34,GB
EG3L,GB
EG64,GB
EG73,GB
EG74,GB
EGAA,GB
EGAB,GB
EGAC,GB
EGAD,GB
EGAE,GB
EGAH,AQ
EGAL,GB
EGAR,AQ
EGAT,AQ
EGBB,GB
EGBC,GB
EGBD,GB
EGBE,GB
EGBF,GB
EGBG,GB
EGBJ,GB
EGBK,GB
EGBL,GB
EGBM,GB
EGBN,GB
EGBO,GB
EGBP,GB
EGBR,GB
EGBS,GB
EGBT,GB
EGBV,GB
EGBW,GB
EGCA,GB
EGCB,GB
EGCC,GB
EGCD,GB
EGCE,GB
EGCF,GB
EGCG,GB
EGCH,GB
EGCJ,GB
EGCK,GB
EGCL,GB
EGCN,GB
EGCO,GB
EGCP,GB
EGCR,GB
EGCS,GB
EGCT,GB
EGCV,GB
EGCW,GB
EGDA,GB
EGDC,GB
EGDD,GB
EGDJ,GB
EGDL,GB
EGDM,GB
EGDN,GB
EGDO,GB
EGDP,GB
EGDR,GB
EGDT,GB
EGDV,GB
EGDW,GB
EGDX,GB
EGDY,GB
EGEA,GB
EGEC,GB
EGED,GB
EGEF,GB
EGEG,GB
EGEH,GB
EGEL,GB
EGEN,GB
EGEO,GB
EGEP,GB
EGER,GB
EGES,GB
EGET,GB
EGEW,GB
EGEY,GB
EGEZ,GB
EGFA,GB
EGFC,GB
EGFE,GB
EGFF,GB
EGFH,GB
EGFP,GB
EGGD,GB
EGGP,GB
EGGW,GB
EGHA,GB
EGHB,GB
EGHC,GB
EGHD,GB
EGHE,GB
EGHF,GB
EGHG,GB
EGHH,GB
EGHI,GB
EGHJ,GB
EGHK,GB
EGHL,GB
EGHN,GB
EGHO,GB
EGHP,GB
EGHQ,GB
EGHR,GB
EGHS,GB
EGHT,GB
EGHU,GB
EGHY,GB
EGJA,GG
EGJB,GG
EGJJ,JE
EGKA,GB
EGKB,GB
EGKC,GB
EGKE,GB
EGKG,GB
EGKH,GB
EGKK,GB
EGKL,GB
EGKM,GB
EGKR,GB
EGLA,GB
EGLC,GB
EGLD,GB
EGLF,GB
EGLG,GB
EGLJ,GB
EGLK,GB
EGLL,GB
EGLM,GB
EGLP,GB
EGLS,GB
EGLT,GB
EGLW,GB
EGMA,GB
EGMC,GB
EGMD,GB
EGMF,GB
EGMH,GB
EGMJ,GB
EGMK,GB
EGML,GB
EGMT,GB
EGNA,GB
EGNB,GB
EGNC,GB
EGND,GB
EGNE,GB
EGNF,GB
EGNG,GB
EGNH,GB
EGNI,GB
EGNJ,GB
EGNL,GB
EGNM,GB
EGNO,GB
EGNP,GB
EGNR,GB
EGNS,IM
EGNT,GB
EGNU,GB
EGNV,GB
EGNW,GB
EGNX,GB
EGNY,GB
EGOD,GB
EGOE,GB
EGOM,GB
EGOQ,GB
EGOS,GB
EGOV,GB
EGOW,GB
EGOY,GB
EGPA,GB
EGPB,GB
EGPC,GB
EGPD,GB
EGPE,GB
EGPF,GB
EGPG,GB
EGPH,GB
EGPI,GB
EGPJ,GB
EGPK,GB
EGPL,GB
EGPM,GB
EGPN,GB
EGPO,GB
EGPR,GB
EGPS,GB
EGPT,GB
EGPU,GB
EGPW,GB
EGPY,GB
EGQB,GB
EGQK,GB
EGQL,GB
EGQS,GB
EGSA,GB
EGSB,GB
EGSC,GB
EGSD,GB
EGSF,GB
EGSG,GB
EGSH,GB
EGSI,GB
EGSJ,GB
EGSK,GB
EGSL,GB
EGSM,GB
EGSN,GB
EGSO,GB
EGSP,GB
EGSQ,GB
EGSR,GB
EGSS,GB
EGST,GB
EGSU,GB
EGSV,GB
EGSW,GB
EGSX,GB
EGSY,GB
EGTA,GB
EGTB,GB
EGTC,GB
EGTD,GB
EGTE,GB
EGTF,GB
EGTG,GB
EGTH,GB
EGTI,GB
EGTK,GB
EGTO,GB
EGTP,GB
EGTR,GB
EGTU,GB
EGTW,GB
EGUA,GB
EGUB,GB
EGUD,GB
EGUK,GB
EGUL,GB
EGUN,GB
EGUO,GB
EGUP,GB
EGUT,GB
EGUV,GB
EGUW,GB
EGUY,GB
EGVA,GB
EGVF,GB
EGVG,GB
EGVJ,GB
EGVL,GB
EGVN,GB
EGVO,GB
EGVP,GB
EGVT,GB
EGWA,GB
EGWC,GB
EGWE,GB
EGWN,GB
EGWU,GB
EGWZ,GB
EGXA,GB
EGXB,GB
EGXC,GB
EGXD,GB
EGXE,GB
EGXG,GB
EGXH,GB
EGXJ,GB
EGXN,GB
EGXP,GB
EGXQ,GB
EGXS,GB
EGXT,GB
EGXU,GB
EGXV,GB
EGXW,GB
EGXY,GB
EGXZ,GB
EGYC,GB
EGYD,GB
EGYE,GB
EGYI,GB
EGYM,GB
EGYO,GB
EGYP,FK
EGZL,GB
EGZV,GB
EH-0001,EH
EH58,NL
EHAD,NL
EHAL,NL
EHAM,NL
EHBD,NL
EHBK,NL
EHDL,NL
EHDP,NL
EHDR,NL
EHDS,NL
EHEH,NL
EHGG,NL
EHGR,NL
EHHA,NL
EHHE,NL
EHHO,NL
EHHV,NL
EHHW,NL
EHJR,NL
EHKD,NL
EHLE,NL
EHLW,NL
EHMC,NL
EHMZ,NL
EHND,NL
EHNP,NL
EHOW,NL
EHRD,NL
EHSA,NL
EHSB,NL
EHSC,NL
EHSE,NL
EHST,NL
EHTE,NL
EHTL,NL
EHTP,NL
EHTW,NL
EHTX,NL
EHVB,NL
EHVK,NL
EHVL,NL
EHWO,NL
EHYP,NL
EIAB,IE
EIBA,IE
EIBB,IE
EIBN,IE
EIBR,IE
EIBT,IE
EICA,IE
EICB,IE
EICD,IE
EICK,IE
EICL,IE
EICM,IE
EICN,IE
EICS,IE
EIDL,IE
EIDW,IE
EIER,IE
EIFR,IE
EIGM,IE
EIGN,IE
EIHH,IE
EIHN,IE
EIIH,IE
EIIM,IE
EIIR,IE
EIKH,IE
EIKI,IE
EIKK,IE
EIKN,IE
EIKY,IE
EILT,IE
EIME,IE
EIMG,IE
EIMH,IE
EIMN,IE
EIMS,IE
EIMY,IE
EINC,IE
EINN,IE
EIPT,IE
EIRT,IE
EISG,IE
EISP,IE
EITM,IE
EITT,IE
EIWF,IE
EIWT,IE
EJN,CN
EJT,MH
EKAC,DK
EKAE,DK
EKAH,DK
EKAL,DK
EKAR,DK
EKAT,DK
EKAV,DK
EKBH,DK
EKBI,DK
EKCE,DK
EKCH,DK
EKCR,DK
EKDB,DK
EKDE,DK
EKDF,DK
EKEB,DK
EKEL,DK
EKFA,FO
EKFR,DK
EKFS,DK
EKFU,DK
EKGC,DK
EKGH,DK
EKGL,DK
EKGO,DK
EKGR,DK
EKHA,DK
EKHB,DK
EKHD,DK
EKHE,DK
EKHG,DK
EKHK,DK
EKHL,DK
EKHM,DK
EKHN,DK
EKHO,DK
EKHR,DK
EKHS,DK
EKHV,DK
EKKA,DK
EKKL,DK
EKKO,DK
EKKS,DK
EKKU,FO
EKKV,FO
EKLS,DK
EKLV,DK
EKMB,DK
EKMN,DK
EKMS,FO
EKNI,DK
EKNM,DK
EKNS,DK
EKOD,DK
EKPB,DK
EKRA,DK
EKRD,DK
EKRF,DK
EKRK,DK
EKRN,DK
EKRR,DK
EKRS,DK
EKSA,DK
EKSB,DK
EKSC,DK
EKSD,DK
EKSG,DK
EKSI,DK
EKSL,DK
EKSN,DK
EKSO,FO
EKSP,DK
EKSR,FO
EKSS,DK
EKST,DK
EKSV,DK
EKSY,FO
EKTB,FO
EKTD,DK
EKTE,DK
EKTS,DK
EKTW,DK
EKVA,DK
EKVB,DK
EKVD,DK
EKVG,FO
EKVH,DK
EKVJ,DK
EKVL,DK
EKYT,DK
EK_4,DK
ELLX,LU
ELNT,LU
ELUS,LU
EMR,GT
ENAE,NO
ENAH,NO
ENAL,NO
ENAN,NO
ENAR,NO
ENAS,NO
ENAT,NO
ENAX,NO
ENBA,NO
ENBE,NO
ENBG,NO
ENBJ,NO
ENBL,NO
ENBM,NO
ENBN,NO
ENBO,NO
ENBR,NO
ENBS,NO
ENBV,NO
ENCN,NO
ENDB,NO
ENDH,NO
ENDI,NO
ENDO,NO
ENDP,NO
ENDU,NO
ENEG,NO
ENEL,NO
ENEN,NO
ENEV,NO
ENFA,NO
ENFB,NO
ENFD,NO
ENFG,NO
ENFJ,NO
ENFL,NO
ENFR,NO
ENFY,NO
ENGK,NO
ENGM,NO
ENGN,NO
ENGS,NO
ENHA,NO
ENHD,NO
ENHF,NO
ENHK,NO
ENHN,NO
ENHO,NO
ENHS,NO
ENHT,NO
ENHV,NO
ENHX,NO
ENJA,NO
ENJB,NO
ENKA,NO
ENKB,NO
ENKJ,NO
ENKL,NO
ENKR,NO
ENLA,NO
ENLH,NO
ENLI,NO
ENLK,NO
ENLU,NO
ENLX,NO
ENMH,NO
ENML,NO
ENMS,NO
ENNA,NO
ENNH,NO
ENNK,NO
ENNM,NO
ENNO,NO
ENOA,NO
ENOC,NO
ENOL,NO
ENOP,NO
ENOV,NO
ENPY,NO
ENQA,NO
ENQB,NO
ENQC,NO
ENQD,NO
ENQE,NO
ENQO,NO
ENQU,NO
ENRA,NO
ENRG,NO
ENRH,NO
ENRI,NO
ENRK,NO
ENRM,NO
ENRO,NO
ENRS,NO
ENRT,NO
ENRV,NO
ENRX,NO
ENRY,NO
ENSA,NO
ENSB,NO
ENSD,NO
ENSG,NO
ENSH,NO
ENSI,NO
ENSK,NO
ENSL,NO
ENSN,NO
ENSO,NO
